id,label,floor,section,cell_x,cell_y,width,height,notes
# grid: origin top-left, units are arbitrary table cells
6F-611,611,6,+24.00,2,1,2,1,Техническое помещение/площадка
6F-601,601,6,+24.00,1,2,1,1,
6F-602,602,6,+24.00,2,2,1,1,
6F-603,603,6,+24.00,3,2,1,1,
6F-604,604,6,+24.00,1,3,1,1,
6F-605,605,6,+24.00,2,3,1,1,
6F-606,606,6,+24.00,3,3,1,1,
6F-607,607,6,+24.00,1,4,3,1,Коридор/холл
6F-608A,608a,6,+24.00,1,5,1,1,Подсобное/вставка
6F-610,610,6,+24.00,3,5,1,1,Узел у правой стены
6F-608,608,6,+24.00,1,6,1,1,
6F-609,609,6,+24.00,2,6,1,1,
6F-024,024,6,+24.00,3,6,1,1,Лестница/служебное

6E-701,701,6,+28.00,2,1,2,1,Техническое помещение/площадка
6E-601,601,6,+28.00,1,2,1,1,
6E-602,602,6,+28.00,2,2,1,1,
6E-603,603,6,+28.00,3,2,1,1,
6E-604A,604a,6,+28.00,1,3,1,1,
6E-605A,605a,6,+28.00,2,3,1,1,
6E-606A,606a,6,+28.00,3,3,1,1,
6E-607A,607a,6,+28.00,1,4,3,1,Коридор/холл
6E-608A,608a,6,+28.00,1,5,1,1,
6E-610,610,6,+28.00,3,5,1,1,
6E-608,608,6,+28.00,1,6,1,1,
6E-609,609,6,+28.00,2,6,1,1,
6E-024,024,6,+28.00,3,6,1,1,

7F-EL1,Лифт 1,7,+31.20,1,1,1,1,Шахта лифта (слева)
7F-EL2,Лифт 2,7,+31.20,2,1,1,1,Шахта лифта (центр‑лево)
7F-EL3,Лифт 3,7,+31.20,3,1,1,1,Шахта лифта (центр‑право)
7F-EL4,Лифт 4,7,+31.20,4,1,1,1,Шахта лифта (справа)
7F-TECH,Техпом.,7,+31.20,5,1,1,1,Техзона у верхней стены
7F-702,702,7,+31.20,1,2,2,1,Зона 702
7F-703,703,7,+31.20,5,2,1,1,Малое помещение справа
7F-704,704,7,+31.20,1,3,3,1,Зона 704
7F-705,705,7,+31.20,1,4,3,1,Зона 705
7F-610,610,7,+31.20,5,3,1,1,Узел в правом коридоре


